1.000000000000000000e+00,1.000000000000000000e+00,1.616207214010501048e-02,1.643398192994936780e-02
1.000000000000000000e+00,1.000000000000000000e+00,5.869871572005649907e-02,5.962228261001292218e-01
1.000000000000000000e+00,9.899999999999999911e-01,1.789744766399235243e-01,1.776267427980019464e+00
1.000000000000000000e+00,9.100000000000000311e-01,6.567360131899476761e-01,7.844717697639971732e+00
1.000000000000000000e+00,8.499999999999999778e-01,3.016908057919863495e+00,1.143593175578011056e+01
8.699999999999999956e-01,6.999999999999999556e-01,1.120671451163976684e+01,2.127808728861011289e+01
8.199999999999999512e-01,6.300000000000000044e-01,1.644581887160988032e+01,2.502810431052967033e+01
7.399999999999999911e-01,6.500000000000000222e-01,1.978056068245994581e+01,2.433135709337009800e+01
7.500000000000000000e-01,5.899999999999999689e-01,1.889708908503980567e+01,2.695296920537970564e+01
5.000000000000000000e-01,3.800000000000000044e-01,3.307547980940992005e+01,3.900838686098988717e+01
4.600000000000000200e-01,4.099999999999999756e-01,3.597428820592005394e+01,3.805903154055995685e+01
4.400000000000000022e-01,3.200000000000000067e-01,3.713909654661994608e+01,4.489023904827994471e+01
4.500000000000000111e-01,3.499999999999999778e-01,3.692897207401019699e+01,4.137660332483028469e+01
2.999999999999999889e-01,2.300000000000000100e-01,4.767734656934030113e+01,4.781774035458016670e+01
4.299999999999999933e-01,3.699999999999999956e-01,3.900453005992043387e+01,4.098213078106011409e+01
1.900000000000000022e-01,1.600000000000000033e-01,5.077765901941973681e+01,5.111341404404003441e+01
